word1	word2	pos	is-similar
achieve	accomplish	V	1
achieve	try	V	0
acquire	find	V	0
acquire	obtain	V	1
adult	baby	N	0
adult	grownup	N	1
agree	argue	V	0
agree	concord	V	1
alcohol	cocktail	N	0
alcohol	gin	N	1
alley	alleyway	N	1
alley	bowl	N	0
anger	fury	N	1
anger	mood	N	0
animal	creature	N	1
animal	person	N	0
apartment	flat	N	1
apartment	furniture	N	0
area	corner	N	0
area	region	N	1
argument	agreement	N	0
argument	statement	N	1
arrange	organize	V	1
arrange	require	V	0
arrive	come	V	1
arrive	leave	V	0
ask	inquire	V	1
ask	pray	V	0
assume	presume	V	1
assume	pretend	V	0
attention	awareness	N	1
attention	interest	N	0
aunt	auntie	N	1
aunt	nephew	N	0
author	creator	N	1
author	reader	N	0
bad	awful	A	1
bad	great	A	0
band	circle	N	1
band	parade	N	0
bar	jail	N	0
bar	saloon	N	1
bathroom	bath	N	1
bathroom	kitchen	N	0
beach	reef	N	0
beach	seashore	N	1
become	get	V	1
become	seem	V	0
begin	quit	V	0
begin	start	V	1
bicycle	bedroom	N	0
bicycle	cycle	N	1
biography	fiction	N	0
biography	life	N	1
bone	neck	N	0
bone	os	N	1
bottom	top	N	0
bottom	underside	N	1
bread	cheese	N	0
breathe	choke	V	0
breathe	respire	V	1
bring	complain	V	0
bring	convey	V	1
brow	eye	N	0
brow	forehead	N	1
business	company	N	1
business	industry	N	0
car	automobile	N	1
car	hose	N	0
chicken	poulet	N	1
chicken	rice	N	0
child	adult	N	0
child	youngster	N	1
chocolate	cocoa	N	1
chocolate	pie	N	0
choice	pick	N	1
choice	selection	N	1
classroom	hallway	N	0
classroom	schoolroom	N	1
cliff	drop	N	1
cliff	tail	N	0
clothes	apparel	N	1
clothes	button	N	0
come	attend	V	1
come	bring	V	0
communicate	pass	V	1
communicate	pray	V	0
communication	conversation	N	1
communication	television	N	0
comprehend	apprehend	V	1
comprehend	satisfy	V	0
condition	boy	N	0
condition	status	N	1
confidence	assurance	N	1
confidence	self	N	0
couch	baseball	N	0
couch	sofa	N	1
course	class	N	1
course	stomach	N	0
cow	cattle	N	1
cow	goat	N	0
create	destroy	V	0
create	make	V	1
dad	mother	N	0
dad	pop	N	1
danger	disease	N	0
danger	threat	N	1
decade	century	N	0
delightful	cheerful	A	0
delightful	wonderful	A	1
deliver	carry	V	0
deliver	present	V	1
destroy	construct	V	0
destroy	destruct	V	1
destruction	construction	N	0
destruction	devastation	N	1
difficult	hard	A	1
difficult	simple	A	0
dirty	narrow	A	0
dirty	soiled	A	1
dirty	unclean	A	1
disc	computer	N	0
disc	platter	N	1
do	make	V	1
do	quit	V	0
doctor	physician	N	1
doctor	temper	N	0
dumb	rare	A	0
dumb	slow	A	1
encourage	discourage	V	0
encourage	promote	V	1
eye	oculus	N	1
eye	tear	N	0
fail	discourage	V	0
fail	neglect	V	1
father	begetter	N	1
father	daughter	N	0
find	disappear	V	0
find	encounter	V	1
floor	ceiling	N	0
floor	flooring	N	1
foot	head	N	0
foot	pes	N	1
forget	bury	V	1
forget	retain	V	0
formula	expression	N	1
formula	log	N	0
fragile	delicate	A	1
fragile	frigid	A	0
fraternity	door	N	0
fraternity	frat	N	1
friend	buddy	N	1
friend	mother	N	0
fun	football	N	0
fun	merriment	N	1
get	acquire	V	1
get	remain	V	0
girl	maid	N	0
girl	miss	N	1
go	move	V	1
go	sell	V	0
groom	bride	N	0
groom	bridegroom	N	1
guy	bozo	N	1
guy	girl	N	0
hand	paw	N	1
hand	thumb	N	0
happiness	felicity	N	1
happiness	luck	N	0
happy	glad	A	1
happy	mad	A	0
hard	difficult	A	1
hard	easy	A	0
hat	coat	N	0
hat	lid	N	1
head	caput	N	1
head	nail	N	0
heart	bosom	N	1
heart	surgery	N	0
home	place	N	1
home	state	N	0
honest	guilty	A	0
honest	honorable	A	1
horse	mare	N	1
horse	ox	N	0
hose	garden	N	0
hose	hosiery	N	1
huge	dumb	A	0
huge	immense	A	1
hymn	anthem	N	1
hymn	straw	N	0
idea	image	N	0
idea	thought	N	1
ignore	disregard	V	1
ignore	explore	V	0
investigate	examine	V	1
investigate	pursue	V	0
jail	choice	N	0
jail	gaol	N	1
jail	jailhouse	N	1
job	management	N	0
job	occupation	N	1
join	acquire	V	0
join	add	V	1
journey	conquest	N	0
journey	trip	N	1
keep	give	V	0
keep	maintain	V	1
king	princess	N	0
king	rex	N	1
large	big	A	1
large	flexible	A	0
lawyer	attorney	N	1
lawyer	banker	N	0
learn	acquire	V	1
learn	listen	V	0
liquor	booze	N	1
liquor	century	N	0
listen	hear	V	1
listen	obey	V	0
log	bath	N	0
log	timber	N	1
loop	belt	N	0
loop	eyelet	N	1
mad	glad	A	0
mad	huffy	A	1
make	become	V	0
make	construct	V	1
meal	repast	N	1
meal	waist	N	0
menu	card	N	1
menu	order	N	0
motor	boat	N	0
motor	engine	N	1
mountain	ledge	N	0
mountain	mount	N	1
muscle	bone	N	0
muscle	musculus	N	1
nerve	brain	N	0
organize	become	V	0
organize	form	V	1
pact	agreement	N	1
pact	condition	N	0
plane	airport	N	0
plane	jet	N	1
please	delight	V	1
please	plead	V	0
pretend	imagine	V	1
pretend	seem	V	0
pupil	president	N	0
pupil	student	N	1
pursue	persuade	V	0
pursue	prosecute	V	1
put	hang	V	0
put	set	V	1
reality	fantasy	N	0
reality	world	N	1
receive	give	V	0
receive	have	V	1
require	inquire	V	0
require	necessitate	V	1
restless	unsatisfied	A	1
restless	young	A	0
rough	frigid	A	0
rough	unsmooth	A	1
say	participate	V	0
say	state	V	1
send	direct	V	1
send	receive	V	0
sharp	crisp	A	1
sharp	dull	A	0
sheep	cattle	N	0
sheep	lamb	N	1
shrink	grow	V	0
shrink	shrivel	V	1
sick	crazy	A	0
sick	ill	A	1
sinner	evildoer	N	1
sinner	saint	N	0
sly	tough	A	0
sly	wily	A	1
smart	dumb	A	0
smart	intelligent	A	1
son	boy	N	1
son	father	N	0
song	story	N	0
song	vocal	N	1
speak	hear	V	0
speak	talk	V	1
spend	pass	V	1
spend	save	V	0
stomach	bedroom	N	0
stomach	tummy	N	1
strange	odd	A	1
strange	sly	A	0
student	professor	N	0
student	pupil	N	1
succeed	fail	V	0
succeed	win	V	1
sunset	sundown	N	1
sunset	sunrise	N	0
target	arrow	N	0
target	mark	N	1
task	highway	N	0
task	job	N	1
tax	income	N	0
tax	taxation	N	1
teacher	helper	N	0
teacher	instructor	N	1
telephone	booth	N	0
telephone	phone	N	1
think	inquire	V	0
think	rationalize	V	1
throat	nose	N	0
throat	pharynx	N	1
tiny	huge	A	0
tiny	petite	A	1
tongue	lingua	N	1
tongue	throat	N	0
trial	test	N	1
trial	verdict	N	0
try	attempt	V	1
try	think	V	0
unnecessary	necessary	A	0
unnecessary	unneeded	A	1
wagon	container	N	0
wagon	waggon	N	1
water	h2o	N	1
water	salt	N	0
wealth	poverty	N	0
weird	normal	A	0
weird	odd	A	1
wide	broad	A	1
wide	narrow	A	0
winner	presence	N	0
winner	victor	N	1
winter	summer	N	0
winter	wintertime	N	1
yard	inch	N	0
yard	pace	N	1
